Date,RELIANCE.NS_Close,RELIANCE.NS_High,RELIANCE.NS_Low,RELIANCE.NS_Open,RELIANCE.NS_Volume,SMA_10,SMA_20,EMA_10,EMA_20,Return,Volatility,RSI,MACD,Target_1,Target_2,Target_3
2021-07-02,964.2848510742188,966.0286046961062,947.9345027993265,949.7688254664646,14086620,970.9540893554688,986.6392547607422,966.9517986286439,975.9167776920606,0.014823937955543931,8.102490351630385,29.946329215027447,-8.832132405336665,973.8640747070312,962.3599243164062,955.679443359375
2021-07-05,973.8640747070312,975.3813457995719,965.3944913619939,967.6364346091955,11702287,967.0114440917969,985.0662322998047,968.2274375030955,975.6940562570302,0.00993401858604459,11.2907733693782,33.633954435240426,-7.730409862527154,962.3599243164062,955.679443359375,947.7760009765625
2021-07-06,962.3599243164062,973.2752309763289,960.2765368506975,971.486252797126,10070124,962.4392333984375,983.2068634033203,967.1475530058492,974.2662204285945,-0.011812891233395018,8.940390691291928,35.13184233949748,-7.556989471683323,955.679443359375,947.7760009765625,938.0836181640625
2021-07-07,955.679443359375,963.6961219133111,950.2218196134942,963.6961219133111,10454892,958.1229248046875,981.90712890625,965.0415974848526,972.2992202050269,-0.006941769693679434,8.982003836537258,32.551226400851846,-7.786762782651067,947.7760009765625,938.0836181640625,943.92626953125
2021-07-08,947.7760009765625,958.8045791709611,942.5221577829742,958.8045791709611,11185460,955.3646545410156,980.0316833496094,961.876768269871,969.7311737689289,-0.008269972151991212,9.760788835029501,28.543748228843043,-8.416650967358805,938.0836181640625,943.92626953125,950.9917602539062
2021-07-09,938.0836181640625,947.3684433649398,935.7737479702222,945.692616426164,9037675,953.8587036132812,976.8171020507813,957.5218859144094,966.4481996046687,-0.01022644886820645,13.668455273801818,24.042523250689484,-9.481184381750722,943.92626953125,950.9917602539062,944.7867431640625
2021-07-12,943.92626953125,951.8070347554016,939.5782363454429,941.9560333000883,8585292,953.77265625,973.175650024414,955.0364817900355,964.1315618724509,0.006228284189230715,9.590547866416314,27.953309495324405,-9.788507122088163,950.9917602539062,944.7867431640625,943.1336669921875
2021-07-13,950.9917602539062,952.5090313833667,945.7152147930674,951.1276138236502,6717133,954.3116271972656,969.7719757080079,954.2978014375138,962.790208777285,0.007485214630338577,6.7155440010872445,33.30698746172148,-9.412757704357546,944.7867431640625,943.1336669921875,956.7437744140625
2021-07-14,944.7867431640625,954.2300635744198,942.6353689523012,951.2860904215172,8532544,953.1951843261719,966.9276489257812,952.5622195708321,960.9648520331647,-0.006524785333773098,4.810882922448651,37.8727871494267,-9.453752476620025,943.1336669921875,956.7437744140625,950.652099609375
2021-07-15,943.1336669921875,948.8630578642602,941.3899132919198,948.8630578642602,9448356,952.4886352539063,963.9089569091797,950.8428320141797,959.1680151847995,-0.0017496818026244698,4.61229826429807,45.255479943087174,-9.49496171498538,956.7437744140625,950.652099609375,948.3195190429688
2021-07-16,956.7437744140625,957.8081403899708,945.5114158643191,945.5793426478567,8828185,951.7345275878906,961.3443084716797,951.9183434539698,958.9250698203278,0.014430730126812064,5.830326059075887,55.39878544964709,-8.42842772059862,950.652099609375,948.3195190429688,960.5029296875
2021-07-19,950.652099609375,961.9976700838799,947.6175572445412,951.1276470202398,8354449,949.413330078125,958.2123870849609,951.6876587751066,958.1000996761113,-0.006367091135155989,5.442558779661895,52.176472630738296,-7.94330889104765,948.3195190429688,960.5029296875,953.7093505859375
2021-07-20,948.3195190429688,954.7509997157346,943.8809767465054,950.9011562369292,6741464,948.0092895507812,955.2242614746094,951.0742721967436,957.1291430333588,-0.002453663719214072,5.360776976864655,46.46676149898357,-7.644076548348039,960.5029296875,953.7093505859375,940.642578125
2021-07-22,960.5029296875,961.9522739144625,950.2896532195613,959.7329730544459,7972397,948.4916381835938,953.3072814941406,952.7908576298271,957.4627257978926,0.012847368845499085,6.8682942214168134,54.502240492508314,-6.419689460522818,953.7093505859375,940.642578125,930.746337890625
2021-07-23,953.7093505859375,966.7307488858196,952.0561658138582,966.7307488858196,9937030,949.0849731445312,952.2248138427734,952.9580383528231,957.0929560332603,-0.007072939489911612,4.831566110934288,45.06450898032685,-5.894198474627387,940.642578125,930.746337890625,922.7523193359375
2021-07-26,940.642578125,960.6388700312618,938.0382987131833,954.750983452507,12389668,949.340869140625,951.5997863769531,950.7168674980805,955.4776166300546,-0.013701000680038988,7.279303242071862,34.98460945987176,-6.393281703855337,930.746337890625,922.7523193359375,929.9536743164062
2021-07-27,930.746337890625,943.7450933231961,924.8584510240973,940.6199818363403,10824523,948.0228759765625,950.8977661132812,947.0832139978089,953.0562957282697,-0.010520723242298247,11.54827908953217,35.50060381841665,-7.454262797878982,922.7523193359375,929.9536743164062,921.8238525390625
2021-07-28,922.7523193359375,932.1050710097164,913.1957274047861,932.1050710097164,12897848,945.1989318847657,949.7552795410156,942.6567756126857,950.0972707661222,-0.008588826223914658,15.635583071714795,35.07795186468208,-8.802388866598335,929.9536743164062,921.8238525390625,938.6724243164062
2021-07-29,929.9536743164062,939.5329082786225,925.4924300252735,930.2933681370648,13765738,943.715625,948.4554046630859,940.3459934982845,948.1350761936378,0.007804212278383904,11.977796521318135,41.87147962504266,-9.209972227568755,921.8238525390625,938.6724243164062,945.579345703125
2021-07-30,921.8238525390625,936.6115854453042,919.9215431668897,932.1050565925411,11350608,941.5846435546875,947.0366394042969,936.9769867449369,945.5776463229413,-0.008742179316964194,7.580742005063584,42.476913953291344,-10.042046361086932,938.6724243164062,945.579345703125,952.8261108398438
2021-08-02,938.6724243164062,941.7975357253354,924.4734496016514,930.4293230086479,10925104,939.7775085449218,945.7560180664062,937.2853488272418,944.9077779547632,0.018277430911487258,6.852454014582401,47.79383157574232,-9.290969931224708,945.579345703125,952.8261108398438,966.6400756835938
2021-08-03,945.579345703125,947.0513322851771,934.9131634487219,946.5984271599676,11817299,939.2702331542969,944.3417816162109,938.7937513102496,944.9728108758216,0.0073581807750970896,10.269907591918917,47.724215240882565,-8.067113992987515,952.8261108398438,966.6400756835938,946.168212890625
2021-08-04,952.8261108398438,957.468493410625,945.239695070289,948.5912889902256,13169800,939.7208923339844,943.8650909423828,941.3456473055486,945.7320901966866,0.007663836112378419,12.286794575566834,53.350996086684184,-6.45946226808519,966.6400756835938,946.168212890625,940.7783813476562
2021-08-05,966.6400756835938,975.9474827845528,953.0525024475675,957.604315821072,21252078,940.3346069335937,944.4131225585937,945.9454570606993,947.7506173003894,0.014497886536268378,16.635728430544955,58.89613944474345,-4.061975261443081,946.168212890625,940.7783813476562,945.7151489257812
2021-08-06,946.168212890625,972.3921457790564,941.5031281309346,964.6925186543999,16620987,939.5804931640625,944.3327331542969,945.9859640488771,947.5980458124948,-0.02117837166899106,10.576095421832626,46.19522636723279,-3.7202376250595535,940.7783813476562,945.7151489257812,958.963134765625
2021-08-09,940.7783813476562,946.5078316871239,935.9548011334763,942.5221349162108,7494143,939.5940734863282,944.4674713134766,945.0390174423455,946.9412853586267,-0.005696483426030907,10.041766964754384,46.42969857987764,-3.827541138490915,945.7151489257812,958.963134765625,955.88330078125
2021-08-10,945.7151489257812,957.0154935941663,939.2384442496343,942.9750161589803,11919198,941.0909545898437,944.5569152832031,945.1619624842266,946.8233293288132,0.005247535100724843,10.025644568217066,49.075677071419165,-3.4845164390658283,958.963134765625,955.88330078125,971.8032836914062
2021-08-11,958.963134765625,960.1859966454768,943.6092248291548,949.7462363911606,9184963,944.7120361328125,944.9554840087891,947.6714676899313,947.9900715752342,0.014008431455171166,10.743007070713553,49.4576065372731,-2.145486071015739,955.88330078125,971.8032836914062,984.4170532226562
2021-08-12,955.88330078125,962.9941092821113,953.3922326146494,962.4052906590396,8137612,947.3049987792969,945.5103118896484,949.164626177867,948.7480204794313,-0.0032116291781412176,7.61232503889493,50.786348471281,-1.3122937081828923,971.8032836914062,984.4170532226562,980.2275390625
2021-08-13,971.8032836914062,973.7282353115995,955.181228214771,958.9630848706249,12780901,952.3029418945313,946.9437927246094,953.2809666038916,950.9601655268622,0.01665473483755253,12.110020565037306,61.043322594363275,0.5981183686213853,984.4170532226562,980.2275390625,984.0321655273438
